,County,Partial,Trump_2016,Clinton_2016,Total Ballots_2016President,Registered Voters_2018Senate,Cruz_2018,O'Rourke_2018,Total Ballots_2018Senate,Registered Voters_2018Governor,Abbott_2018,Valdez_2018,Total Ballots_2018Governor,Cornyn_2020,Hegar_2020,Trump_2020,Biden_2020,Turnout_2018Senate,Turnout_2018Governor,Registered Voters_2016President,Turnout_2016President,Total Ballots_2020President,Registered Voters_2020President,Turnout_2020President,Total Ballots_2020Senate,Registered Voters_2020Senate,Turnout_2020Senate
0,BASTROP,Yes,9176.0,6235.0,16446.0,27593.0,8500.0,7269.0,15964.0,27593.0,9227.0,6294.0,15922.0,11516.0,8911.0,11577.0,9144.0,,,,,,,,,,
1,LEE,Yes,3350.0,963.0,,,2830.0,888.0,,,3112.0,773.0,,4102.0,1170.0,4125.0,1220.0,,,,,,,,,,
2,HARRIS,Yes,75445.0,38403.0,121731.0,196007.0,70497.0,43626.0,115706.0,196007.0,75422.0,38013.0,115678.0,102919.0,60687.0,101390.0,65714.0,2950.0099999999998,2949.39,175175.0,3489.0499999999997,,,,,,
3,TRAVIS,Yes,,,,,,,,,,,,41083.0,100874.0,37369.0,107413.0,,,,,,,,,,
4,WASHINGTON,No,10945.0,3382.0,14828.0,23253.0,10134.0,3263.0,13492.0,23253.0,10532.0,2730.0,13470.0,12988.0,4017.0,12959.0,4261.0,58.02,57.93,22951.0,64.61,17427.0,23947.0,72.77,17280.0,23947.0,72.16
5,FAYETTE,No,8743.0,2144.0,11174.0,16626.0,8228.0,2198.0,10479.0,16626.0,8576.0,1777.0,10461.0,10056.0,2634.0,10171.0,2661.0,63.03,62.92,16279.0,68.64,12941.0,17398.0,74.38,12864.0,17398.0,73.94
6,COLORADO,No,6325.0,1987.0,8513.0,13938.0,5779.0,1825.0,7637.0,13938.0,5992.0,1558.0,7613.0,7367.0,2362.0,7472.0,2420.0,54.79,54.62,13871.0,61.37,9975.0,14378.0,69.38,9890.0,14378.0,68.79
7,AUSTIN,No,9637.0,2320.0,12274.0,19406.0,8722.0,2241.0,11047.0,19406.0,9009.0,1897.0,11029.0,11454.0,2752.0,11447.0,2951.0,56.93,56.83,19263.0,63.72,14554.0,20293.0,71.72,14481.0,20293.0,71.36
8,WALLER,No,10531.0,5748.0,16784.0,32584.0,10167.0,6335.0,16603.0,32584.0,10639.0,5791.0,16600.0,14219.0,7725.0,14260.0,8191.0,50.95,50.95,31132.0,53.91,22734.0,35116.0,64.74,22458.0,35116.0,63.95
Total,,,134152.0,61182.0,201750.0,329407.0,124857.0,67645.0,190928.0,329407.0,132509.0,58833.0,190773.0,215704.0,191132.0,210770.0,203975.0,3233.7299999999996,3232.64,278671.0,3801.2999999999997,77631.0,111132.0,352.99,76973.0,111132.0,350.2
