,County,Partial,Trump_2020,Biden_2020,Total Ballots_2020President,Registered Voters_2020President,Turnout_2020President,Cornyn_2020,Hegar_2020,Total Ballots_2020Senate,Registered Voters_2020Senate,Turnout_2020Senate,Cruz_2018,O'Rourke_2018,Total Ballots_2018Senate,Registered Voters_2018Senate,Turnout_2018Senate,Abbott_2018,Valdez_2018,Total Ballots_2018Governor,Registered Voters_2018Governor,Turnout_2018Governor,Trump_2016,Clinton_2016,Total Ballots_2016President,Registered Voters_2016President,Turnout_2016President
0,HUDSPETH,No,771.0,371.0,1157.0,2085.0,55.49,673.0,443.0,1153.0,2085.0,55.3,509.0,407.0,933.0,1922.0,48.54,538.0,335.0,886.0,1922.0,46.1,503.0,324.0,871.0,1840.0,47.34
1,CULBERSON,No,415.0,438.0,864.0,1709.0,50.56,367.0,385.0,778.0,1709.0,45.52,297.0,521.0,827.0,1722.0,48.03,324.0,422.0,757.0,1722.0,43.96,280.0,454.0,767.0,1762.0,43.53
2,REEVES,No,2249.0,1394.0,3683.0,7558.0,48.73,1978.0,1337.0,3430.0,7558.0,45.38,1128.0,1255.0,2398.0,7089.0,33.83,1210.0,1123.0,2357.0,7089.0,33.25,1417.0,1659.0,3184.0,7103.0,44.83
3,JEFF DAVIS,No,783.0,501.0,1304.0,1670.0,78.08,766.0,483.0,1285.0,1670.0,76.95,683.0,466.0,1177.0,1719.0,68.47,719.0,407.0,1165.0,1719.0,67.77,695.0,422.0,1191.0,1655.0,71.96
4,PRESIDIO,No,721.0,1463.0,2217.0,4789.0,46.29,651.0,1374.0,2091.0,4789.0,43.66,436.0,1221.0,1667.0,4884.0,34.13,465.0,1157.0,1652.0,4884.0,33.82,652.0,1458.0,2208.0,4806.0,45.94
5,BREWSTER,No,2451.0,2251.0,4805.0,7524.0,63.86,2447.0,2160.0,4761.0,7524.0,63.28,1879.0,2147.0,4086.0,7292.0,56.03,2033.0,1933.0,4062.0,7292.0,55.7,2077.0,1873.0,4252.0,7369.0,57.7
6,LOVING,No,60.0,4.0,66.0,111.0,59.46,58.0,5.0,66.0,111.0,59.46,47.0,6.0,54.0,121.0,44.63,47.0,9.0,56.0,121.0,46.28,58.0,4.0,65.0,110.0,59.09
7,WINKLER,No,1753.0,358.0,2126.0,4013.0,52.98,1714.0,338.0,2094.0,4013.0,52.18,1123.0,321.0,1455.0,3870.0,37.6,1150.0,284.0,1453.0,3870.0,37.55,1403.0,420.0,1876.0,3817.0,49.15
8,WARD,No,3238.0,761.0,4034.0,6880.0,58.63,3136.0,723.0,3937.0,6880.0,57.22,2096.0,800.0,2920.0,6522.0,44.77,2201.0,690.0,2926.0,6522.0,44.86,2547.0,783.0,3445.0,6476.0,53.2
9,CRANE,No,1247.0,241.0,1503.0,2663.0,56.44,1213.0,229.0,1479.0,2663.0,55.54,836.0,213.0,1055.0,2666.0,39.57,842.0,197.0,1047.0,2666.0,39.27,1049.0,299.0,1384.0,2679.0,51.66
10,PECOS,No,3213.0,1378.0,4663.0,8323.0,56.03,3079.0,1373.0,4564.0,8323.0,54.84,2161.0,1339.0,3520.0,8223.0,42.81,2299.0,1167.0,3503.0,8223.0,42.6,2468.0,1554.0,4185.0,8170.0,51.22
11,UPTON,No,1176.0,169.0,1365.0,2207.0,61.85,1145.0,159.0,1333.0,2207.0,60.4,854.0,169.0,1031.0,2116.0,48.72,860.0,148.0,1016.0,2116.0,48.02,1007.0,286.0,1347.0,2245.0,60.0
12,REAGAN,No,942.0,172.0,1124.0,1879.0,59.82,893.0,154.0,1069.0,1879.0,56.89,692.0,136.0,834.0,1845.0,45.2,697.0,127.0,836.0,1845.0,45.31,709.0,167.0,904.0,1893.0,47.75
13,CROCKETT,No,1219.0,344.0,1573.0,2473.0,63.61,1145.0,314.0,1492.0,2473.0,60.33,928.0,340.0,1276.0,2497.0,51.1,921.0,333.0,1266.0,2497.0,50.7,980.0,372.0,1395.0,2553.0,54.64
14,TERRELL,No,334.0,119.0,458.0,673.0,68.05,324.0,116.0,450.0,673.0,66.86,323.0,139.0,467.0,694.0,67.29,316.0,136.0,455.0,694.0,65.56,288.0,140.0,438.0,700.0,62.57
15,SCHLEICHER,No,939.0,211.0,1158.0,1709.0,67.76,926.0,191.0,1131.0,1709.0,66.18,735.0,209.0,952.0,1789.0,53.21,758.0,187.0,957.0,1789.0,53.49,821.0,208.0,1059.0,1823.0,58.09
16,SUTTON,No,1222.0,322.0,1557.0,2449.0,63.58,1204.0,305.0,1529.0,2449.0,62.43,934.0,265.0,1206.0,2478.0,48.67,939.0,248.0,1199.0,2478.0,48.39,1075.0,313.0,1416.0,2536.0,55.84
17,VAL VERDE,No,7839.0,6401.0,14417.0,28927.0,49.84,7567.0,6113.0,14077.0,28927.0,48.66,5345.0,5955.0,11405.0,27972.0,40.77,5993.0,5241.0,11365.0,27972.0,40.63,5890.0,6964.0,13617.0,27690.0,49.18
18,EDWARDS,No,893.0,166.0,1064.0,1499.0,70.98,824.0,143.0,985.0,1499.0,65.71,604.0,145.0,757.0,1449.0,52.24,635.0,100.0,742.0,1449.0,51.21,746.0,303.0,1073.0,1514.0,70.87
19,KINNEY,No,1144.0,446.0,1603.0,2270.0,70.62,1070.0,395.0,1508.0,2270.0,66.43,827.0,358.0,1199.0,2255.0,53.17,890.0,290.0,1191.0,2255.0,52.82,936.0,458.0,1430.0,2243.0,63.75
20,MAVERICK,No,6881.0,8324.0,15338.0,33050.0,46.41,5708.0,7958.0,14291.0,33050.0,43.24,2951.0,7727.0,10776.0,31453.0,34.26,3495.0,6940.0,10561.0,31453.0,33.58,2816.0,10397.0,13588.0,30689.0,44.28
21,UVALDE,No,6160.0,4066.0,10323.0,17420.0,59.26,5955.0,3813.0,10061.0,17420.0,57.76,4348.0,3528.0,7935.0,17118.0,46.35,4755.0,3070.0,7905.0,17118.0,46.18,4835.0,3867.0,8964.0,16843.0,53.22
22,ZAVALA,No,1490.0,2864.0,4379.0,8066.0,54.29,1232.0,2633.0,3994.0,8066.0,49.52,589.0,2313.0,2917.0,8157.0,35.76,748.0,2082.0,2850.0,8157.0,34.94,694.0,2636.0,3396.0,8615.0,39.42
23,DIMMIT,No,1384.0,2264.0,3666.0,7341.0,49.94,1274.0,2122.0,3468.0,7341.0,47.24,840.0,2042.0,2894.0,7378.0,39.22,1042.0,1787.0,2851.0,7378.0,38.64,974.0,2173.0,3225.0,7440.0,43.35
24,FRIO,No,2812.0,2421.0,5264.0,8984.0,58.59,2479.0,2279.0,4907.0,8984.0,54.62,1636.0,2016.0,3680.0,8606.0,42.76,1844.0,1739.0,3634.0,8606.0,42.23,1856.0,2444.0,4400.0,9130.0,48.19
25,MEDINA,No,15599.0,6731.0,22568.0,33763.0,66.84,15548.0,6171.0,22128.0,33763.0,65.54,11444.0,4621.0,16179.0,31354.0,51.6,12057.0,3964.0,16187.0,31354.0,51.63,12085.0,4634.0,17246.0,30318.0,56.88
